benchmark,n,shots,seed,iters,eta,frac_zero_steps,frac_nonzero_descent,frac_nonzero_ascent_or_orthogonal,mean_cos_nonzero,cost_start,cost_end,cost_change
projector,6,64,1,300,0.3,0.0,0.8133333333333334,0.18666666666666668,0.43775538276657017,0.997417610882583,0.0015005168285131543,-0.9959170940540698
projector,6,64,2,300,0.3,0.31666666666666665,0.5166666666666667,0.16666666666666666,0.3518932786667799,0.9998634848793447,0.9990020488313863,-0.0008614360479584082
projector,6,64,3,300,0.3,0.0,0.7833333333333333,0.21666666666666667,0.39979010256226755,0.9795314022960379,0.002510362760666185,-0.9770210395353717
projector,6,64,4,300,0.3,1.0,0.0,0.0,,0.9999999577743911,0.9999999577743911,0.0
projector,6,64,5,300,0.3,0.013333333333333334,0.8766666666666667,0.11,0.5708688551700897,0.9981922655973359,0.0007177731995924308,-0.9974744923977434
projector,6,64,6,300,0.3,0.87,0.09333333333333334,0.03666666666666667,0.3387896529263131,0.9999875296214491,0.9999806621134398,-6.867508009267276e-06
projector,6,64,7,300,0.3,0.8433333333333334,0.08,0.07666666666666666,0.02141871387446477,0.9999994716524645,0.9999991676972773,-3.0395518724191106e-07
projector,6,64,8,300,0.3,0.0,0.79,0.21,0.3445830044617732,0.9332535785121352,0.0002190516904135853,-0.9330345268217216
projector,6,64,9,300,0.3,0.05333333333333334,0.8466666666666667,0.1,0.6199144893691323,0.9994567886540164,0.0015320834246556059,-0.9979247052293608
projector,6,64,10,300,0.3,1.0,0.0,0.0,,0.9999999990440026,0.9999999990440026,0.0
projector,6,64,11,300,0.3,0.99,0.006666666666666667,0.0033333333333333335,0.25826848292604077,0.9999988825606319,0.9999988568622948,-2.5698337013935202e-08
projector,6,64,12,300,0.3,0.0,0.8,0.2,0.40842132761908406,0.9989270988106883,0.0010082845294144827,-0.9979188142812738
projector,6,64,13,300,0.3,0.0,0.86,0.14,0.5324717632392686,0.997725171804295,0.001117286317818822,-0.9966078854864762
projector,6,64,14,300,0.3,0.0,0.83,0.17,0.46656939045836915,0.9971705528898533,0.0018570076399403446,-0.995313545249913
projector,6,64,15,300,0.3,0.0,0.8633333333333333,0.13666666666666666,0.48598292911433294,0.9979748184840139,0.0009733751105935884,-0.9970014433734203
projector,6,64,16,300,0.3,0.7,0.14333333333333334,0.15666666666666668,-0.054616332241636194,0.9999981930912356,0.9999997473617588,1.5542705231741394e-06
projector,6,64,17,300,0.3,0.64,0.20666666666666667,0.15333333333333332,0.1298002098579459,0.9999960911857426,0.9999849900901309,-1.1101095611754097e-05
projector,6,64,18,300,0.3,0.7,0.22333333333333333,0.07666666666666666,0.2895129848256708,0.9998875352646613,0.9998253301827735,-6.220508188781171e-05
projector,6,64,19,300,0.3,0.05,0.9166666666666666,0.03333333333333333,0.6911007634626308,0.9992087040328752,0.003030601371026287,-0.9961781026618489
projector,6,1024,0,300,0.3,0.0,0.8233333333333334,0.17666666666666667,0.3541364852773135,0.7613341734879662,4.453640332291453e-05,-0.7612896370846433
projector,6,1024,1,300,0.3,0.0,0.8333333333333334,0.16666666666666666,0.4819486665325933,0.997417610882583,1.582951247569575e-05,-0.9974017813701073
projector,6,1024,2,300,0.3,0.006666666666666667,0.9233333333333333,0.07,0.7448213937968002,0.9998634848793447,0.9991517817409356,-0.000711703138409181
projector,6,1024,3,300,0.3,0.0,0.8,0.2,0.40842259248398904,0.9795314022960379,4.387132002547922e-05,-0.9794875309760124
projector,6,1024,4,300,0.3,0.9933333333333333,0.0033333333333333335,0.0033333333333333335,0.08443722976868484,0.9999999577743911,0.9999999577570802,-1.7310930466862828e-11
projector,6,1024,5,300,0.3,0.0,0.9366666666666666,0.06333333333333334,0.7609174932908618,0.9981922655973359,5.51073714033512e-05,-0.9981371582259325
projector,6,1024,6,300,0.3,0.20666666666666667,0.52,0.2733333333333333,0.239617608839411,0.9999875296214491,0.9999843796529843,-3.149968464843944e-06
projector,6,1024,7,300,0.3,0.22333333333333333,0.44,0.33666666666666667,0.13027388709575272,0.9999994716524645,0.9999989499012393,-5.217512252242429e-07
projector,6,1024,8,300,0.3,0.0,0.8133333333333334,0.18666666666666668,0.3864055941808356,0.9332535785121352,9.588011665451202e-05,-0.9331576983954807
projector,6,1024,9,300,0.3,0.0,0.9833333333333333,0.016666666666666666,0.9189636769042231,0.9994567886540164,0.00016371454849206657,-0.9992930741055244
projector,6,1024,10,300,0.3,1.0,0.0,0.0,,0.9999999990440026,0.9999999990440026,0.0
projector,6,1024,11,300,0.3,0.81,0.13333333333333333,0.056666666666666664,0.22244428994861232,0.9999988825606319,0.9999988565176213,-2.6043010525889088e-08
projector,6,1024,12,300,0.3,0.0,0.8366666666666667,0.16333333333333333,0.47773302827729663,0.9989270988106883,2.944582645769689e-05,-0.9988976529842306
