bin_low,bin_high,log10_abs_g_mid,benchmark,shots,n_in_bin,n_used,mean_p_zero,median_p_zero,mean_p_correct,median_p_correct,mean_p_wrong,mean_estimator_sd,mean_abs_g,mean_p_pos,mean_p_neg
-2.0,-1.5,-1.75,parity,16384,14771,4000,3.6456763189303856e-07,8.705557391125495e-12,0.9999917445861495,0.9999999998757421,7.890846224530084e-06,0.00276000570601105,0.018641812716251132,0.5002243701034673,0.4997756298965328
-2.0,-1.5,-1.75,projector,64,6471,4000,0.11615395617347345,0.10553482026170961,0.8242103051643042,0.827626238082045,0.05963573866222249,0.015486534221739913,0.018339846424622885,0.03883772643413614,0.03965165257037488
-2.0,-1.5,-1.75,projector,1024,6471,4000,0.00029782765762231144,7.588343906491651e-09,0.9978740462734925,0.9999999882410106,0.0018281260688853265,0.003871633555434978,0.018339846424622885,0.03883772643413614,0.03965165257037488
-2.0,-1.5,-1.75,projector,16384,6471,4000,7.503059532413675e-10,6.787102852196638e-118,0.9999999856232714,1.0,1.362642265420499e-08,0.0009679083888587445,0.018339846424622885,0.03883772643413614,0.03965165257037488
-1.5,-1.0,-1.25,parity,64,12714,4000,0.031348347122620926,0.03247000245006067,0.8716143420819805,0.8765551458181027,0.09703731079539843,0.04386046253754625,0.05823393444209575,0.4997480032474044,0.5002519967525956
-1.5,-1.0,-1.25,parity,1024,12714,4000,2.695958576688202e-05,7.415675490750814e-08,0.9998064440377643,0.9999996368629169,0.0001665963764695061,0.010965115634386563,0.05823393444209575,0.4997480032474044,0.5002519967525956
-1.5,-1.0,-1.25,parity,16384,12714,4000,1.0810835815904764e-33,8.2297895666171e-91,0.9999999999993231,1.0,6.768712812466049e-13,0.002741278908596641,0.05823393444209575,0.4997480032474044,0.5002519967525956
-1.5,-1.0,-1.25,projector,64,4915,4000,0.01192025788971959,0.005810811079737251,0.9749974996863072,0.9919864102023382,0.013082242423973196,0.02412613968548529,0.05720908212192816,0.09580935837779435,0.09812800910797281
-1.5,-1.0,-1.25,projector,1024,4915,4000,2.856988983910055e-07,2.406576420896287e-27,0.9999983714700162,1.0,1.342831085629532e-06,0.006031534921371323,0.05720908212192816,0.09580935837779435,0.09812800910797281
-1.5,-1.0,-1.25,projector,16384,4915,4000,4.4609322708539105e-44,0.0,0.999999999999102,1.0,8.979656185292839e-13,0.0015078837303428307,0.05720908212192816,0.09580935837779435,0.09812800910797281
-1.0,-0.5,-0.75,parity,64,7621,4000,0.0008615467555057693,8.877260711911564e-05,0.9978499993241869,0.9998228927628526,0.00128845392030733,0.04114292172240275,0.17160448824046293,0.4946719187992858,0.5053280812007143
-1.0,-0.5,-0.75,parity,1024,7621,4000,1.5355791445972676e-22,7.226537759812535e-49,0.9999999999999593,1.0,4.071953900437677e-14,0.010285730430600687,0.17160448824046293,0.4946719187992858,0.5053280812007143
-1.0,-0.5,-0.75,parity,16384,7621,4000,0.0,0.0,0.9999999999993504,1.0,6.496713722548009e-13,0.0025714326076501717,0.17160448824046293,0.4946719187992858,0.5053280812007143
-1.0,-0.5,-0.75,projector,64,2778,2778,8.991917969446594e-05,5.497190747135525e-08,0.9998108117071413,0.9999999332643168,9.926911316449012e-05,0.032006274929601876,0.17001788430348483,0.22055585037421763,0.21970957499249746
-1.0,-0.5,-0.75,projector,1024,2778,2778,1.7591076499319564e-24,1.4574606486182576e-107,0.9999999999999365,1.0,6.351282990605661e-14,0.008001568732400469,0.17001788430348483,0.22055585037421763,0.21970957499249746
-1.0,-0.5,-0.75,projector,16384,2778,2778,0.0,0.0,0.9999999999993711,1.0,6.289652424195077e-13,0.0020003921831001172,0.17001788430348483,0.22055585037421763,0.21970957499249746
-0.5,0.0,-0.25,parity,64,766,766,2.4076814193519793e-17,5.032412354195923e-22,0.9999999999999943,1.0,5.726257368394449e-15,0.029132034817411213,0.36952013508585846,0.501490192616463,0.49850980738353695
-0.5,0.0,-0.25,parity,1024,766,766,1.1273342044306248e-264,0.0,0.9999999999999427,1.0,5.730968354360425e-14,0.007283008704352803,0.36952013508585846,0.501490192616463,0.49850980738353695
-0.5,0.0,-0.25,parity,16384,766,766,0.0,0.0,0.9999999999994936,1.0,5.063328636553235e-13,0.0018207521760882008,0.36952013508585846,0.501490192616463,0.49850980738353695
-0.5,0.0,-0.25,projector,64,287,287,3.696959557990429e-18,1.9625535821877356e-30,0.999999999999995,1.0,4.958540110831843e-15,0.027055764509143224,0.3735112347700676,0.3892908372983949,0.41464573960074114
-0.5,0.0,-0.25,projector,1024,287,287,1.71031379240608e-266,0.0,0.9999999999999507,1.0,4.93681750531925e-14,0.006763941127285806,0.3735112347700676,0.3892908372983949,0.41464573960074114
-0.5,0.0,-0.25,projector,16384,287,287,0.0,0.0,0.9999999999994275,1.0,5.726735384780687e-13,0.0016909852818214515,0.3735112347700676,0.3892908372983949,0.41464573960074114
