n,theta_seed,theta_scale,F_theta,shots,k,reps,g_exact,mean_pennylane,mean_binomial,z_mean_pl_vs_binomial,z_mean_pl_vs_exact,z_mean_binomial_vs_exact,var_pennylane,var_binomial,var_theory,var_ratio_pl_over_binomial,var_ratio_pl_over_theory,var_ratio_binomial_over_theory,approx_sd_of_var_ratio,degenerate_all_zero
4,12,1.0,0.0008551241455818778,1024,3,400,-0.01683122735171854,-0.01683837890625,-0.01724365234375,0.7007223023854765,-0.017702083339244036,-0.9964911637302805,6.528480907430626e-05,6.85177411053115e-05,6.748421243745496e-05,0.952816132305993,0.9674086236808774,1.0153151178701896,0.10012523486435178,False
4,12,0.4,0.5721162733960296,64,0,400,0.06319302334554784,0.0640625,0.0641015625,-0.013931037067043371,0.4390739609288977,0.45765905539095136,0.0015685576245300752,0.0015763881750274124,0.0015759113289698784,0.9950326000782129,0.9953336813406817,1.0003025843197952,0.10012523486435178,False
4,12,0.4,0.5721162733960296,64,3,400,-0.398173658831821,-0.3997265625,-0.39736328125,-1.2883573250340954,-1.241207013346121,0.604106942537981,0.000626124331825658,0.0007197922632509008,0.0006701169502840468,0.8698681047192742,0.9343508346718564,1.074129318689518,0.10012523486435178,False
4,12,0.4,0.5721162733960296,256,0,400,0.06319302334554784,0.062939453125,0.062099609375,0.5845561293981117,-0.2482696449586289,-1.0821057003667631,0.0004172623904426594,0.00040840387941900653,0.0003939778322424696,1.021690565320425,1.0591011886827673,1.0366163930960932,0.10012523486435178,False
4,12,0.4,0.5721162733960296,256,3,400,-0.398173658831821,-0.398115234375,-0.3975146484375,-0.6549321613142749,0.09281121997145916,0.9882777879974859,0.00015850698141227088,0.00017786334331770592,0.0001675292375710117,0.8911728434629725,0.946145184628346,1.0616853863631646,0.10012523486435178,False
4,12,0.4,0.5721162733960296,1024,0,400,0.06319302334554784,0.06353271484375,0.063218994140625,0.44085770277087427,0.6761584692430529,0.05153047453006243,0.00010095605276581041,0.00010160198635923534,9.84944580606174e-05,0.9936425101853709,1.0249922153353852,1.0315502857704486,0.10012523486435178,False
4,12,0.4,0.5721162733960296,1024,3,400,-0.398173658831821,-0.398099365234375,-0.398265380859375,0.36496738114023003,0.23562421036630019,-0.2797541802836532,3.9767010468886914e-05,4.299858010801158e-05,4.188230939275292e-05,0.9248447360120491,0.9494942147523501,1.0266525588355404,0.10012523486435178,False
6,11,1.0,0.0015581586249235233,64,0,400,0.010880012650630305,0.01134765625,0.0098046875,1.3025803099981186,0.5427723711480152,-1.3228043192195635,0.0002969302987693844,0.0002643311770637531,0.0002901832399607224,1.123326813233873,1.0232510285899876,0.9109112473192164,0.10012523486435178,False
6,11,1.0,0.0015581586249235233,64,5,400,0.00029135835221784194,0.0003515625,0.00044921875,-0.523868356947001,0.46844782219507775,1.1690763327381057,6.606787966008772e-06,7.293242260925752e-06,6.293630146853547e-06,0.9058780347123905,1.049757899947741,1.1588291797813943,0.10012523486435178,False
6,11,1.0,0.0015581586249235233,256,0,400,0.010880012650630305,0.0112158203125,0.011220703125,-0.008391230817132602,0.8065546703207572,0.8380733330549008,6.93383611234507e-05,6.610220237483356e-05,7.25458099901806e-05,1.0489568975367334,0.9557872623220549,0.9111787763315454,0.10012523486435178,False
6,11,1.0,0.0015581586249235233,256,5,400,0.00029135835221784194,0.0002294921875,0.0003173828125,-0.995810686957814,-0.9720387393719494,0.42559616165055336,1.6203141750249649e-06,1.4956433671458921e-06,1.5734075367133867e-06,1.083355972832601,1.0298121352650689,0.950575952032153,0.10012523486435178,False
6,11,1.0,0.0015581586249235233,1024,0,400,0.010880012650630305,0.01071044921875,0.010648193359375,0.2178741817700823,-0.7981010459811937,-1.2132318184555215,1.8055462896973267e-05,1.460399095874681e-05,1.813645249754515e-05,1.2363375838821138,0.9955344298680877,0.8052286388820264,0.10012523486435178,False
6,11,1.0,0.0015581586249235233,1024,5,400,0.00029135835221784194,0.00029052734375,0.000262451171875,0.626166153969294,-0.026994400113898212,-0.8867143790882809,3.7907358996551445e-07,4.251125761142052e-07,3.9335188417834667e-07,0.8917016603707285,0.9637009639787096,1.0807437137417095,0.10012523486435178,False
6,11,0.4,0.5078205197080461,64,0,400,0.3265154490159058,0.32646484375,0.32994140625,-1.627337776653946,-0.032798548669768605,2.318536679976823,0.0009522306590450736,0.0008733652827136201,0.0009646329612123366,1.0903005625394362,0.9871429832216432,0.9053861083245459,0.10012523486435178,False
6,11,0.4,0.5078205197080461,64,5,400,0.037617674409202315,0.03708984375,0.037265625,-0.06918443504278549,-0.2910613159890685,-0.1978303121644107,0.0013154678535939458,0.0012667227149906015,0.0014742856343315969,1.0384813014138663,0.8922747552853589,0.8592111904860966,0.10012523486435178,False
6,11,0.4,0.5078205197080461,256,0,400,0.3265154490159058,0.327958984375,0.326875,0.9928314011900061,1.9484913298928395,0.4483206530882173,0.0002195421376622709,0.0002572784806253916,0.00024115824030308415,0.8533249151993151,0.9103654819605317,1.0668450736000055,0.10012523486435178,False
6,11,0.4,0.5078205197080461,256,5,400,0.037617674409202315,0.037783203125,0.036884765625,0.6798503724673084,0.17622749474692645,-0.7884132061256721,0.00035290624862326715,0.00034566233928938554,0.0003685714085828992,1.0209566056538693,0.9574976257114945,0.937843607073062,0.10012523486435178,False
6,11,0.4,0.5078205197080461,1024,0,400,0.3265154490159058,0.3266845703125,0.327293701171875,-1.0853700137042048,0.4462485587241408,1.8801537021613242,5.745170707989457e-05,6.853524156680383e-05,6.028956007577104e-05,0.8382797779138821,0.9529296118215178,1.1367679823947916,0.10012523486435178,False
