n,label,log10A,s,shots,p_zero_exact,p_both_zero,p_zero_rare_event,p_zero_poisson
6,lower-quartile A,-4.022772222666706,0.9463474479911156,23313.0,0.123885519346246,0.1094478174188211,0.1094587064635249,0.1238964710323602
6,lower-quartile A,-4.022772222666706,0.9463474479911156,32597.0,0.0574074983901373,0.045351109140146,0.045357418113023,0.0574143165539266
6,lower-quartile A,-4.022772222666706,0.9463474479911156,45579.0,0.0205248131823023,0.0132301254564744,0.0132326990141172,0.0205280706169841
6,lower-quartile A,-4.022772222666706,0.9463474479911156,63731.0,0.0052187732033455,0.0023630346099698,0.0023636773610007,0.0052198816441499
6,lower-quartile A,-4.022772222666706,0.9463474479911156,89112.0,0.0008377799624363,0.0002125441794004,0.0002126250202547,0.0008380204059228
6,lower-quartile A,-4.022772222666706,0.9463474479911156,124602.0,7.097533960861401e-05,7.325016995431879e-06,7.328912933337307e-06,7.100321381013553e-05
6,lower-quartile A,-4.022772222666706,0.9463474479911156,174225.0,2.4459392002241915e-06,6.602497247020297e-08,6.607407943211519e-08,2.4472659797242e-06
6,lower-quartile A,-4.022772222666706,0.9463474479911156,243611.0,2.3800285383766153e-08,9.122632859257039e-11,9.132121538423966e-11,2.3818208853604946e-08
6,lower-quartile A,-4.022772222666706,0.9463474479911156,340630.0,3.936310438240332e-11,9.155881868357004e-15,9.169200563176415e-15,3.9404372488090526e-11
6,lower-quartile A,-4.022772222666706,0.9463474479911156,476288.0,5.4514361865596995e-15,2.3488789061772016e-20,2.353657879480552e-20,5.459405735981152e-15
6,typical A,-2.678836360265897,-0.992898878880531,1.0,0.9979051293990256,0.9979051138723144,0.997907291120591,0.9979073066148088
6,typical A,-2.678836360265897,-0.992898878880531,2.0,0.9958146782692546,0.9958146162925168,0.995818961671636,0.9958190235188098
6,typical A,-2.678836360265897,-0.992898878880531,3.0,0.9937286372226336,0.9937284980670992,0.9937350024882616,0.993735141353193
6,typical A,-2.678836360265897,-0.992898878880531,4.0,0.9916469968911856,0.9916467500218128,0.991655404424775,0.9916556507791414
6,typical A,-2.678836360265897,-0.992898878880531,5.0,0.9895697479269656,0.9895693630016276,0.9895801583546212,0.9895805424777884
6,typical A,-2.678836360265897,-0.992898878880531,6.0,0.9874968810020192,0.9874963278706927,0.9875092551703456,0.9875098071501744
6,typical A,-2.678836360265897,-0.992898878880531,8.0,0.9833642560578209,0.9833632768288234,0.983380441124864,0.9833814183196012
6,typical A,-2.678836360265897,-0.992898878880531,10.0,0.9792490478331182,0.9792475241914468,0.9792688898091572,0.9792704102922574
6,typical A,-2.678836360265897,-0.992898878880531,13.0,0.9731087302569118,0.973106171450692,0.9731337726511802,0.9731363261696632
6,typical A,-2.678836360265897,-0.992898878880531,17.0,0.9649819115057828,0.9649775723452476,0.9650133648778132,0.9650176951094556
6,typical A,-2.678836360265897,-0.992898878880531,21.0,0.9569234395027748,0.9569168734601032,0.9569607186232209,0.9569672712120224
6,typical A,-2.678836360265897,-0.992898878880531,28.0,0.9429838348723818,0.9429723319956088,0.9430299407494244,0.9430414202326328
6,typical A,-2.678836360265897,-0.992898878880531,36.0,0.9273030609991406,0.9272843623501188,0.9273571991281234,0.9273758600762352
6,typical A,-2.678836360265897,-0.992898878880531,46.0,0.9080708121657296,0.9080409160527986,0.9081320548467272,0.9081618913350976
6,typical A,-2.678836360265897,-0.992898878880531,60.0,0.8818185272468567,0.8817691356010786,0.8818845746669718,0.8819338693169358
6,typical A,-2.678836360265897,-0.992898878880531,77.0,0.8509659369288972,0.8508874398412962,0.8510304008332135,0.8511087466821768
6,typical A,-2.678836360265897,-0.992898878880531,99.0,0.8126467442352789,0.8125228325081785,0.8126983562652937,0.8128220352080626
6,typical A,-2.678836360265897,-0.992898878880531,128.0,0.764776398739612,0.7645814765947443,0.764795033008902,0.7649896013110397
6,typical A,-2.678836360265897,-0.992898878880531,166.0,0.7063198134941784,0.7060170750355838,0.7062728277048949,0.7065750417185598
6,typical A,-2.678836360265897,-0.992898878880531,214.0,0.6388641551968236,0.6384091739135845,0.63870732233747,0.6391615631109482
6,typical A,-2.678836360265897,-0.992898878880531,276.0,0.5612380421816101,0.5605734294610434,0.560911097995517,0.5615747189379285
6,typical A,-2.678836360265897,-0.992898878880531,356.0,0.4749286160850592,0.4739934785760759,0.4743617849822586,0.4752956902097304
6,typical A,-2.678836360265897,-0.992898878880531,460.0,0.3823691540482405,0.3811133671122552,0.381496058070592,0.3827504749421851
6,typical A,-2.678836360265897,-0.992898878880531,594.0,0.2893306173505551,0.2877487481845599,0.2881219120425216,0.2897025172626916
6,typical A,-2.678836360265897,-0.992898878880531,767.0,0.2020317190084886,0.2001950731142874,0.2005303706942873,0.2023662408518554
6,typical A,-2.678836360265897,-0.992898878880531,990.0,0.1273366612648177,0.1254168065491677,0.1256879994324202,0.12760797441042
6,typical A,-2.678836360265897,-0.992898878880531,1279.0,0.0701669688960707,0.068414549885427,0.068605730279123,0.0703593590629943
6,typical A,-2.678836360265897,-0.992898878880531,1651.0,0.0327021269677862,0.0313580329415007,0.0314711938842079,0.032817299904535
