k,layer,qubit,rot,shots,replicate,g_hat,g_exact,xi
2,0,1,0,128,94,-0.2890625,-0.18740256624278084,-0.10165993375721916
2,0,1,0,128,95,-0.234375,-0.18740256624278084,-0.046972433757219156
2,0,1,0,128,96,-0.25,-0.18740256624278084,-0.06259743375721916
2,0,1,0,128,97,-0.1484375,-0.18740256624278084,0.038965066242780844
2,0,1,0,128,98,-0.1171875,-0.18740256624278084,0.07021506624278084
2,0,1,0,128,99,-0.234375,-0.18740256624278084,-0.046972433757219156
2,0,1,0,128,100,-0.171875,-0.18740256624278084,0.015527566242780844
2,0,1,0,128,101,-0.1484375,-0.18740256624278084,0.038965066242780844
2,0,1,0,128,102,-0.171875,-0.18740256624278084,0.015527566242780844
2,0,1,0,128,103,-0.140625,-0.18740256624278084,0.046777566242780844
2,0,1,0,128,104,-0.0390625,-0.18740256624278084,0.14834006624278084
2,0,1,0,128,105,-0.25,-0.18740256624278084,-0.06259743375721916
2,0,1,0,128,106,-0.0703125,-0.18740256624278084,0.11709006624278084
2,0,1,0,128,107,-0.21875,-0.18740256624278084,-0.031347433757219156
2,0,1,0,128,108,-0.125,-0.18740256624278084,0.062402566242780844
2,0,1,0,128,109,-0.203125,-0.18740256624278084,-0.015722433757219156
2,0,1,0,128,110,-0.15625,-0.18740256624278084,0.031152566242780844
2,0,1,0,128,111,-0.2421875,-0.18740256624278084,-0.054784933757219156
2,0,1,0,128,112,-0.2109375,-0.18740256624278084,-0.023534933757219156
2,0,1,0,128,113,-0.15625,-0.18740256624278084,0.031152566242780844
2,0,1,0,128,114,-0.1328125,-0.18740256624278084,0.054590066242780844
2,0,1,0,128,115,-0.109375,-0.18740256624278084,0.07802756624278084
2,0,1,0,128,116,-0.0546875,-0.18740256624278084,0.13271506624278084
2,0,1,0,128,117,-0.15625,-0.18740256624278084,0.031152566242780844
2,0,1,0,128,118,-0.1796875,-0.18740256624278084,0.007715066242780844
2,0,1,0,128,119,-0.2421875,-0.18740256624278084,-0.054784933757219156
2,0,1,0,128,120,-0.203125,-0.18740256624278084,-0.015722433757219156
2,0,1,0,128,121,-0.09375,-0.18740256624278084,0.09365256624278084
2,0,1,0,128,122,-0.2421875,-0.18740256624278084,-0.054784933757219156
2,0,1,0,128,123,-0.3125,-0.18740256624278084,-0.12509743375721916
2,0,1,0,128,124,-0.21875,-0.18740256624278084,-0.031347433757219156
2,0,1,0,128,125,-0.1484375,-0.18740256624278084,0.038965066242780844
2,0,1,0,128,126,-0.234375,-0.18740256624278084,-0.046972433757219156
2,0,1,0,128,127,-0.2421875,-0.18740256624278084,-0.054784933757219156
2,0,1,0,128,128,-0.1640625,-0.18740256624278084,0.023340066242780844
2,0,1,0,128,129,-0.1953125,-0.18740256624278084,-0.007909933757219156
2,0,1,0,128,130,-0.234375,-0.18740256624278084,-0.046972433757219156
2,0,1,0,128,131,-0.203125,-0.18740256624278084,-0.015722433757219156
2,0,1,0,128,132,-0.2890625,-0.18740256624278084,-0.10165993375721916
2,0,1,0,128,133,-0.2109375,-0.18740256624278084,-0.023534933757219156
2,0,1,0,128,134,-0.2109375,-0.18740256624278084,-0.023534933757219156
2,0,1,0,128,135,-0.234375,-0.18740256624278084,-0.046972433757219156
2,0,1,0,128,136,-0.1640625,-0.18740256624278084,0.023340066242780844
2,0,1,0,128,137,-0.171875,-0.18740256624278084,0.015527566242780844
2,0,1,0,128,138,-0.203125,-0.18740256624278084,-0.015722433757219156
2,0,1,0,128,139,-0.15625,-0.18740256624278084,0.031152566242780844
2,0,1,0,128,140,-0.1640625,-0.18740256624278084,0.023340066242780844
2,0,1,0,128,141,-0.1484375,-0.18740256624278084,0.038965066242780844
2,0,1,0,128,142,-0.09375,-0.18740256624278084,0.09365256624278084
2,0,1,0,128,143,-0.1796875,-0.18740256624278084,0.007715066242780844
2,0,1,0,128,144,-0.2265625,-0.18740256624278084,-0.039159933757219156
2,0,1,0,128,145,-0.0859375,-0.18740256624278084,0.10146506624278084
2,0,1,0,128,146,-0.3359375,-0.18740256624278084,-0.14853493375721916
2,0,1,0,128,147,-0.2578125,-0.18740256624278084,-0.07040993375721916
2,0,1,0,128,148,-0.1796875,-0.18740256624278084,0.007715066242780844
2,0,1,0,128,149,-0.1640625,-0.18740256624278084,0.023340066242780844
